Quote_Id,Quote_Date,Field_info1,Field_info2,Field_info3,Field_info4,Coverage_info1,Coverage_info2,Coverage_info3,Sales_info1,Sales_info2,Sales_info3,Sales_info4,Sales_info5,Personal_info1,Personal_info2,Personal_info3,Personal_info4,Personal_info5,Property_info1,Property_info2,Property_info3,Property_info4,Property_info5,Geographic_info1,Geographic_info2,Geographic_info3,Geographic_info4,Geographic_info5
1,25/1/14,E,0.9472,"1,487",N,8,22,F,1,5,7,R,12505,N,5,ZA,0,2,Y,0,D,0,11,9,22,-1,N,IL
4,18/6/13,F,0.9919,564,N,11,22,E,0,2,17,P,59183,N,21,XR,0,,N,0,R,1,14,4,17,-1,N,NJ
5,24/9/13,B,0.9403,965,N,4,22,J,0,3,20,T,61998,N,25,ZA,0,2,N,0,O,0,18,2,11,-1,N,CA
7,15/9/14,B,0.9153,935,N,12,22,D,1,5,11,Q,46142,N,19,ZA,0,2,N,0,D,1,24,2,12,-1,N,CA
8,18/6/13,E,0.9485,"1,480",N,5,22,K,1,5,1,P,27464,N,7,ZA,0,2,N,0,R,0,4,9,23,-1,N,IL
11,17/9/13,B,0.9403,965,N,23,22,E,1,3,20,P,60545,N,9,ZA,0,2,N,0,O,1,24,2,4,-1,N,CA
15,8/1/14,F,0.9838,548,N,9,22,E,0,5,20,T,60030,N,23,ZN,0,,N,0,R,1,15,4,16,-1,N,NJ
19,3/4/13,B,0.9403,965,N,3,22,D,0,5,24,T,4725,N,-1,ZA,0,2,N,0,A,0,12,2,4,-1,N,CA
20,20/6/13,J,0.9691,"1,165",N,7,22,G,1,5,1,Q,57926,N,21,ZA,0,2,N,0,J,0,4,14,5,-1,N,TX
22,9/8/13,B,0.9403,965,N,4,2,D,0,5,21,V,37816,N,7,ZA,0,2,N,0,O,0,1,2,11,25,N,CA
34,24/9/13,F,0.9919,564,N,3,25,E,1,2,20,P,33909,N,5,ZH,0,,N,0,R,1,9,4,18,-1,N,NJ
36,2/11/13,E,0.9482,"1,480",N,16,22,A,1,5,7,R,44317,N,23,ZA,0,2,N,0,J,0,10,11,24,-1,N,IL
38,3/2/14,B,0.9403,935,N,10,22,D,0,5,7,K,53946,N,9,ZA,0,2,Y,0,O,1,16,2,4,-1,N,CA
39,30/12/13,F,0.9838,564,N,5,22,E,1,3,20,K,56547,N,4,ZT,0,2,Y,0,N,0,10,4,19,-1,N,NJ
44,19/11/13,E,0.9482,"1,480",N,9,22,F,1,5,7,P,24944,N,14,ZA,0,2,N,0,R,0,19,9,23,-1,N,IL
47,20/4/15,F,1.0101,548,N,4,25,E,1,3,20,Q,21195,N,7,XD,0,,N,0,R,1,1,4,20,25,N,NJ
53,18/1/14,B,0.9403,935,N,4,25,K,1,3,20,R,66960,N,9,ZA,0,2,N,0,O,1,5,2,13,-1,N,CA
54,10/4/13,F,0.9313,564,N,10,22,E,0,5,23,T,8386,N,15,XR,0,,N,0,D,1,20,4,21,-1,N,NJ
58,25/3/14,B,0.9153,935,N,5,2,D,1,5,11,P,44893,N,7,ZA,0,2,N,0,R,0,5,2,11,-1,N,CA
61,21/10/13,J,0.9497,"1,165",N,8,2,G,1,5,7,K,67014,N,-1,XE,0,,N,0,S,1,5,12,5,-1,N,TX
62,13/2/15,B,0.9153,935,N,8,22,J,1,3,20,V,65424,N,7,ZA,0,2,N,0,O,1,14,2,9,-1,N,CA
63,14/3/14,E,0.9392,"1,487",N,18,22,A,1,3,20,V,33510,N,10,XH,0,,N,0,J,1,21,9,23,-1,N,IL
64,8/2/15,B,0.9153,935,N,14,22,D,1,5,11,M,64447,N,-1,ZA,0,2,N,0,D,1,24,2,4,-1,N,CA
65,15/3/13,J,0.9769,"1,165",N,8,22,G,1,5,23,V,5145,N,18,XS,0,,N,0,Q,1,5,24,12,-1,N,TX
70,4/4/14,B,0.9153,935,N,4,2,E,1,3,20,K,40306,N,7,ZA,0,2,N,0,R,0,13,2,4,-1,N,CA
71,27/3/15,K,0.887,"1,113",Y,8,22,G,1,5,11,V,58544,N,6,XS,0,,N,0,J,1,5,14,5,-1,N,TX
76,25/6/13,F,0.9919,564,N,5,22,E,1,3,17,P,30603,N,5,XM,0,,N,0,R,1,13,4,20,-1,N,NJ
79,2/10/14,B,0.9153,935,N,10,22,D,1,5,11,Q,23639,N,24,ZA,0,2,N,0,O,1,20,2,4,-1,Y,CA
83,21/2/14,F,0.9685,548,N,7,22,E,1,3,20,P,16128,N,8,XR,0,,N,0,R,1,11,4,18,-1,N,NJ
86,13/5/13,J,0.9691,"1,165",N,8,22,G,1,5,1,K,52195,N,5,ZA,0,2,N,0,Q,0,11,24,15,-1,N,TX
88,2/7/13,F,0.9919,564,N,4,22,E,1,4,1,P,22398,N,6,YE,0,,N,0,R,1,9,4,19,-1,N,NJ
90,1/5/13,F,0.9313,564,N,5,22,E,1,3,15,T,20365,N,4,YH,0,,N,0,R,0,11,4,19,-1,N,NJ
